gazetteerId_村志代码,villageInnerId_村庄内部代码,categoryId_类别代码,unitId_单位代码,data_数据
305,305,3,1,14
306,306,1,3,458
306,306,2,2,1608
306,306,3,1,16
307,307,1,3,NULL
307,307,2,2,1433.6
307,307,3,1,14.2
309,309,1,3,NULL
309,309,2,2,1156.4
309,309,3,1,15.7
310,310,1,3,NULL
310,310,2,2,800
310,310,3,1,13
313,313,1,3,NULL
313,313,2,2,571.3
313,313,3,1,13
314,314,1,3,NULL
314,314,2,2,NULL
314,314,3,1,20.5
315,315,1,3,NULL
315,315,2,2,649.9
315,315,3,1,14.2
316,316,1,3,NULL
316,316,2,2,665.6
316,316,3,1,14.2
317,317,1,3,45
317,317,2,2,500
317,317,3,1,1.4
319,319,1,3,1192
319,319,2,2,825
319,319,3,1,14.3
321,321,1,3,NULL
321,321,2,2,1200
321,321,3,1,16
322,322,1,3,220
322,322,2,2,NULL
322,322,3,1,20
323,323,1,3,NULL
323,323,2,2,874.5
323,323,3,1,14
325,325,1,3,600
325,325,2,2,NULL
325,325,3,1,13.3
327,327,1,3,NULL
327,327,2,2,860
327,327,3,1,7.8
329,329,1,3,NULL
329,329,2,2,NULL
329,329,3,1,10.3
330,330,1,3,NULL
330,330,2,2,385
330,330,3,1,8.4
333,333,1,3,369
333,333,2,2,575.2
333,333,3,1,14
335,335,1,3,NULL
335,335,2,2,515
335,335,3,1,12.6
336,336,1,3,NULL
336,336,2,2,512
336,336,3,1,10.7
337,337,1,3,NULL
337,337,2,2,1039.3
337,337,3,1,15.2
338,338,1,3,100
338,338,2,2,16.6
338,338,3,1,14.4
340,340,1,3,NULL
340,340,2,2,1000
340,340,3,1,14.3
341,341,1,3,NULL
341,341,2,2,450
341,341,3,1,10.3
342,342,1,3,NULL
342,342,2,2,592.8
342,342,3,1,NULL
343,343,1,3,750
343,343,2,2,439
343,343,3,1,10.2
344,344,1,3,NULL
344,344,2,2,1000
344,344,3,1,NULL
346,346,1,3,NULL
346,346,2,2,621.1
346,346,3,1,14
347,347,1,3,33
347,347,2,2,600
347,347,3,1,11.8
348,348,1,3,100
348,348,2,2,1500
348,348,3,1,16
349,349,1,3,NULL
349,349,2,2,650
349,349,3,1,NULL
350,350,1,3,NULL
350,350,2,2,1000
350,350,3,1,15
351,351,1,3,NULL
351,351,2,2,450
351,351,3,1,NULL
352,352,1,3,29
352,352,2,2,1179.4
352,352,3,1,16.6
353,353,1,3,763
353,353,2,2,475.6
353,353,3,1,10
354,354,1,3,NULL
354,354,2,2,1670
354,354,3,1,17.4
355,355,1,3,200
355,355,2,2,NULL
355,355,3,1,13.1
356,356,1,3,430
356,356,2,2,NULL
356,356,3,1,NULL
357,357,1,3,722
357,357,2,2,545.2
357,357,3,1,11.2
358,358,1,3,NULL
358,358,2,2,520
358,358,3,1,10.7
359,359,1,3,100
359,359,2,2,1700
359,359,3,1,22
360,360,1,3,NULL
360,360,2,2,1655.82
360,360,3,1,21.9
361,361,1,3,NULL
361,361,2,2,1800
361,361,3,1,22
363,363,1,3,NULL
363,363,2,2,1725.7
363,363,3,1,21.8
365,365,1,3,NULL
365,365,2,2,1500
365,365,3,1,21.7
366,366,1,3,NULL
366,366,2,2,429
366,366,3,1,14
367,367,1,3,NULL
367,367,2,2,1200
367,367,3,1,15
368,368,1,3,NULL
368,368,2,2,1800
368,368,3,1,22
369,369,1,3,69
369,369,2,2,429
369,369,3,1,14
370,370,1,3,NULL
370,370,2,2,646.6
370,370,3,1,14.5
371,371,1,3,NULL
371,371,2,2,719.2
371,371,3,1,15.2
372,372,1,3,347
372,372,2,2,380
372,372,3,1,14.4
373,373,1,3,NULL
373,373,2,2,1054
373,373,3,1,15.4
374,374,1,3,NULL
374,374,2,2,1128.7
374,374,3,1,16.4
375,375,1,3,NULL
375,375,2,2,1000
375,375,3,1,15.5
377,377,1,3,NULL
377,377,2,2,NULL
377,377,3,1,13
378,378,1,3,40
378,378,2,2,NULL
378,378,3,1,NULL
380,380,1,3,NULL
380,380,2,2,450
380,380,3,1,10
381,381,1,3,NULL
381,381,2,2,550
381,381,3,1,12.3
382,382,1,3,NULL
382,382,2,2,1600
382,382,3,1,21.4
383,383,1,3,NULL
383,383,2,2,665.6
383,383,3,1,14.2
386,386,1,3,NULL
386,386,2,2,445
386,386,3,1,9
387,387,1,3,NULL
387,387,2,2,1875.4
387,387,3,1,24
388,388,1,3,NULL
388,388,2,2,553
388,388,3,1,NULL
390,390,1,3,1421.9
390,390,2,2,NULL
390,390,3,1,NULL
391,391,1,3,NULL
391,391,2,2,1000
391,391,3,1,15
392,392,1,3,NULL
392,392,2,2,610
392,392,3,1,NULL
393,393,1,3,34
393,393,2,2,626
393,393,3,1,11.6
394,394,1,3,NULL
394,394,2,2,NULL
394,394,3,1,21
396,396,1,3,NULL
396,396,2,2,1600
396,396,3,1,20.5
397,397,1,3,NULL
397,397,2,2,700
397,397,3,1,13.5
398,398,1,3,NULL
398,398,2,2,500
398,398,3,1,8
400,400,1,3,NULL
400,400,2,2,1949.5
400,400,3,1,18.9
401,401,1,3,64
401,401,2,2,519.5
401,401,3,1,13.4
402,402,1,3,NULL
402,402,2,2,1054
402,402,3,1,15.4
404,404,1,3,NULL
404,404,2,2,NULL
404,404,3,1,17.2
405,405,1,3,NULL
405,405,2,2,NULL
405,405,3,1,9
406,406,1,3,28
406,406,2,2,900
406,406,3,1,14
407,407,1,3,NULL
407,407,2,2,500
407,407,3,1,14.3
408,408,1,3,378
408,408,2,2,500.8
408,408,3,1,12
409,409,1,3,25.5
409,409,2,2,901
409,409,3,1,13
411,411,1,3,50
411,411,2,2,1500
411,411,3,1,20
412,412,1,3,NULL
412,412,2,2,591.9
412,412,3,1,12.4
413,413,1,3,1920
413,413,2,2,155
413,413,3,1,4
